nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
SEMINARIO DE TESIS  II,1,37,36,0,1
GEOMETRIA ANALITICA,1,37,32,2,3
ADMINISTRACION DE PROYECTOS DE SISTEMAS,1,37,35,2,0
QUIMICA  I,1,37,0,0,0
ORGANIZACION DE ARCHIVOS,1,38,35,1,2
FISICA II,1,38,31,3,4
SISTEMAS OPERATIVOS,1,38,33,5,0
MICROCOMPUTACION IV,1,38,35,3,0
INVESTIGACION DE OPERACIONES  III,1,38,23,14,1
SISTEMAS DIGITALES,1,38,34,4,0
INGENIERIA DE INFORMACION,1,38,29,7,2
METODOS NUMERICOS,1,38,35,2,1
ALGORITMOS Y ESTRUCTURA DE DATOS,1,38,31,5,2
COMPUTACION,1,38,33,2,3
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,2,38,30,8,0
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,38,30,3,5
TELEPROCESO,1,38,38,0,0
TALLER DE INGENIERIA DE INFORMACION,1,38,38,0,0
COMPUTACION I,1,38,37,1,0
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,38,38,0,0
TALLER DE INGENIERIA DE INFORMACION,1,38,32,6,0
GESTION EMPRESARIAL DE SISTEMAS,1,38,28,4,6
SISTEMAS DE INFORMACION I,1,38,30,8,0
SISTEMAS DIGITALES,1,38,35,3,0
ARQUITECTURA DE COMPUTADORAS,1,38,38,0,0
FISICA I,1,38,38,0,0
INGENIERIA DE SOFTWARE,1,38,38,0,0
INGENIERIA DE INFORMACION,1,38,38,0,0
DINAMICA DE SISTEMAS I,2,38,30,6,2
FISICA I,1,38,29,9,0
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,2,38,36,2,0
GEOMETRIA ANALITICA,3,38,28,5,5
COMPUTACION II,1,38,30,7,1
ESTADISTICA PARA INGENIEROS,1,38,31,6,1
ESTADISTICA PARA INGENIEROS,2,38,24,11,3
QUIMICA  I,2,38,0,0,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,39,39,0,0
SIMULACION,1,39,39,0,0
TEORIA DE LENGUAJES,1,39,34,0,5
INGENIERIA DE SOFTWARE,1,39,36,2,1
MICROCOMPUTACION III,1,39,38,0,1
SISTEMAS DE INFORMACION II,1,39,35,3,1
COSTOS Y PRESUPUESTOS,1,39,37,1,1
ELECTRONICA II,1,39,25,14,0
FISICA II,1,39,36,3,0
SIMULACION,1,39,37,2,0
REDES DE COMUNICACION,1,39,36,3,0
SISTEMAS OPERATIVOS,1,39,36,3,0
INGENIERIA DE INFORMACION,1,39,37,1,1
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,39,31,3,5
INTELIGENCIA ARTIFICIAL,1,39,25,13,1
SEGURIDAD INFORMATICA,1,39,38,0,1
BIOINFORMATICA,1,39,32,4,3
SISTEMAS DE INFORMACION II,1,39,39,0,0
GESTION DEL CONOCIMIENTO,1,39,39,0,0
SISTEMAS EXPERTOS,1,39,36,3,0
INGENIERIA DE SOFTWARE,1,39,39,0,0
ESTRUCTURA DE DATOS,1,39,34,3,2
CALCULO DIFERENCIAL,1,39,37,0,2
CALCULO DIFERENCIAL,2,39,36,3,0
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,39,35,1,3
GESTION DEL CONOCIMIENTO,1,39,39,0,0
INGENIERIA DE SOFTWARE,1,39,39,0,0
SEMINARIO DE TESIS  I,1,39,38,1,0
INTELIGENCIA ARTIFICIAL,1,39,39,0,0
SEMINARIO DE TESIS  II,1,39,0,0,0
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,40,33,5,2
LENGUAJE DE MAQUINA,1,40,28,10,2
SISTEMAS DE INFORMACION II,1,40,37,0,3
INGENIERIA DE INFORMACION,1,40,40,0,0
INGENIERIA DE INFORMACION,1,40,30,5,5
METODOLOGIA DE SISTEMAS,1,40,40,0,0
INVESTIGACION DE OPERACIONES  III,1,40,40,0,0
FISICA III,1,40,35,3,2
ELECTRONICA I,1,40,34,5,1
MATEMATICA III,1,40,33,5,2
COMPUTACION,1,40,31,6,3
SISTEMAS DE INFORMACION   I,1,40,37,2,1
ESTADISTICA Y PROBABILIDAD,1,40,32,6,2
INGENIERIA DE INFORMACION,1,40,40,0,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,40,40,0,0
